year;month;day;temp_max;temp_min;was_raining_previous_day
2021;12;28;-1;-5;1
2021;12;29;0;-4;0
2021;12;30;2;0;1
2021;12;31;5;3;1
2022;01;01;9;7;1
2022;01;02;5;0;1
2022;01;03;7;6;1
2022;01;04;7;2;1
2022;01;05;5;2;0
2022;01;06;2;-1;0
2022;01;07;1;-1;0
2022;01;08;0;-1;0
2022;01;09;0;0;0
2022;01;10;0;-2;0
2022;01;11;-1;-4;0
2022;01;12;-2;-6;0
2022;01;13;2;-1;0
2022;01;14;6;3;0
2022;01;15;3;0;0
2022;01;16;1;-1;1
2022;01;17;3;0;0
2022;01;18;1;-1;0
2022;01;19;2;-1;1
2022;01;20;0;-1;0
2022;01;21;0;-1;0
2022;01;22;0;-2;0
2022;01;23;-1;-4;0
2022;01;24;0;-4;0
2022;01;25;1;-1;0
2022;01;26;0;-2;1
2022;01;27;3;1;1
2022;01;28;2;0;1
2022;01;29;2;-1;1
2022;01;30;3;1;0
2022;01;31;1;0;0
2022;02;01;0;-1;1
2022;02;02;0;-1;0
2022;02;03;0;-1;1
2022;02;04;2;-1;0
2022;02;05;3;1;0
2022;02;06;3;1;1
2022;02;07;4;2;0
2022;02;08;3;1;0
2022;02;09;7;3;0
2022;02;10;7;5;0
2022;02;11;5;1;0
2022;02;12;6;0;0
2022;02;13;6;0;0
2022;02;14;8;0;0
2022;02;15;8;0;0
2022;02;16;7;3;1
2022;02;17;9;4;0
2022;02;18;7;3;1
2022;02;19;7;4;0
2022;02;20;3;2;1
2022;02;21;8;1;0
2022;02;22;5;2;1
2022;02;23;5;0;0
2022;02;24;8;0;0
2022;02;25;6;2;0
2022;02;26;22;9;0
2022;02;27;6;0;0
2022;02;28;5;-1;0
2022;03;01;7;-1;0
2022;03;02;5;-1;0
2022;03;03;4;0;0
2022;03;04;5;0;0
2022;03;05;2;-1;0
2022;03;06;5;-1;0
2022;03;07;3;-1;0
2022;03;08;5;-1;0
2022;03;09;4;0;0
2022;03;10;5;-3;0
2022;03;11;5;-3;0
2022;03;12;5;-1;0
2022;03;13;10;0;0
